#Top: design_netlist_EMPTY   Floorplan: io_1   Part: xc6slx16csg324-2
#Generated by: terjr   on: Thu Sep 26 14:02:41 2013
#Build: PlanAhead v12.4   by: hdbuild   on: Tue Nov  9 17:32:56 MST 2010

IO Bank,BUFIO2 Region,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type,IN_TERM,OUT_TERM,OFFCHIP_TERM
,,G12,,GND,,,,,,,,,,,,,,,
,,G17,,GND,,,,,,,,,,,,,,,
,,G2,,GND,,,,,,,,,,,,,,,
,,G5,,GND,,,,,,,,,,,,,,,
,,H10,,GND,,,,,,,,,,,,,,,
,,H8,,GND,,,,,,,,,,,,,,,
,,J11,,GND,,,,,,,,,,,,,,,
,,J15,,GND,,,,,,,,,,,,,,,
,,J4,,GND,,,,,,,,,,,,,,,
,,J9,,GND,,,,,,,,,,,,,,,
,,K10,,GND,,,,,,,,,,,,,,,
,,K8,,GND,,,,,,,,,,,,,,,
,,L11,,GND,,,,,,,,,,,,,,,
,,L9,,GND,,,,,,,,,,,,,,,
,,M17,,GND,,,,,,,,,,,,,,,
,,M2,,GND,,,,,,,,,,,,,,,
,,M6,,GND,,,,,,,,,,,,,,,
,,N13,,GND,,,,,,,,,,,,,,,
,,R1,,GND,,,,,,,,,,,,,,,
,,R14,,GND,,,,,,,,,,,,,,,
,,R18,,GND,,,,,,,,,,,,,,,
,,R4,,GND,,,,,,,,,,,,,,,
,,R9,,GND,,,,,,,,,,,,,,,
,,T16,,GND,,,,,,,,,,,,,,,
,,U12,,GND,,,,,,,,,,,,,,,
,,U6,,GND,,,,,,,,,,,,,,,
,,V1,,GND,,,,,,,,,,,,,,,
,,V18,,GND,,,,,,,,,,,,,,,
,,G7,,VCCINT,,,,,,,,,,,,,,,
,,H11,,VCCINT,,,,,,,,,,,,,,,
,,H9,,VCCINT,,,,,,,,,,,,,,,
,,J10,,VCCINT,,,,,,,,,,,,,,,
,,J8,,VCCINT,,,,,,,,,,,,,,,
,,K11,,VCCINT,,,,,,,,,,,,,,,
,,K9,,VCCINT,,,,,,,,,,,,,,,
,,L10,,VCCINT,,,,,,,,,,,,,,,
,,L8,,VCCINT,,,,,,,,,,,,,,,
,,M12,,VCCINT,,,,,,,,,,,,,,,
,,M7,,VCCINT,,,,,,,,,,,,,,,
,,B1,,VCCAUX,,,,,,,,,,,,,,,
,,B17,,VCCAUX,,,,,,,,,,,,,,,
,,E14,,VCCAUX,,,,,,,,,,,,,,,
,,E5,,VCCAUX,,,,,,,,,,,,,,,
,,E9,,VCCAUX,,,,,,,,,,,,,,,
,,G10,,VCCAUX,,,,,,,,,,,,,,,
,,J12,,VCCAUX,,,,,,,,,,,,,,,
,,K7,,VCCAUX,,,,,,,,,,,,,,,
,,M9,,VCCAUX,,,,,,,,,,,,,,,
,,P10,,VCCAUX,,,,,,,,,,,,,,,
,,P14,,VCCAUX,,,,,,,,,,,,,,,
,,P5,,VCCAUX,,,,,,,,,,,,,,,
